idname,roottype,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14
2,Lateralroot,0,0,5,9,13,15,15,18,18,20,22,25,25,30,0,0,0.50922203,1.420306724,6.61112715,8.54952145,9.82376463,11.64485888,11.80288055,16.52769156,20.15928559,24.16800061,24.89318994,26.09271775
2,primaryroot,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1.5688283,7.0003307,12.2172089,17.578379,24.5646239,29.680619,32.754146,33.454773,36.854213,41.217015,45.512752,46.534295,48.859703,50.688755
2,sum_root,2,3,8,12,16,18,18,21,21,23,25,28,27,33,1.5688283,7.0003307,12.72643093,18.99868572,31.17575105,38.23014045,42.57791063,45.09963188,48.65709355,57.74470656,65.67203759,70.70229561,73.75289294,76.78147275
4,Lateralroot,0,0,0,0,0,0,3,4,8,13,26,46,48,48,0,0,0,0,0,0,0.74588448,1.27483316,4.0240123,8.09518466,17.62582568,28.98270964,31.59912267,39.41661687
4,primaryroot,4,5,5,6,6,6,7,7,7,7,7,7,7,7,4.47327825,5.16283849,6.71714724,9.69008313,17.14669805,18.87629953,24.88721051,32.20977534,36.3360229,41.59399965,43.5235162,44.06119235,42.41408982,41.49069873
4,sum_root,4,5,5,6,7,6,10,12,15,20,33,53,55,50,4.47327825,5.16283849,6.71714724,9.69008313,17.14669805,18.87629953,25.63309499,33.4846085,40.3600352,49.68918431,61.14934188,73.04390199,74.01321249,80.9073156
4,Lateralroot,1,1,2,2,2,4,6,9,12,22,36,39,50,51,0.22155114,0,0.58547813,1.10178927,2.78635063,4.365316082,10.48081464,18.69797887,26.10640411,35.57236652,44.89605122,50.82079081,64.3018816,70.64365433
4,primaryroot,4,5,5,5,5,5,5,5,5,5,6,6,7,7,3.2128107,4.77821414,7.0612737,9.11293911,13.88800467,12.93908884,13.86638641,14.8494522,15.00858155,15.33282,16.32346079,17.50614646,18.6537503,18.6579588
4,sum_root,5,5,7,7,7,9,11,14,17,27,42,45,57,58,3.43436184,4.77821414,7.64675183,10.21472838,16.6743553,17.30440492,24.34720105,33.54743107,41.11498566,50.90518652,61.21951201,68.32693727,82.9556319,89.30161313
4,Lateralroot,0,0,0,1,3,7,9,12,17,23,37,37,54,62,0,0,0,0.8690854,3.19357528,6.20608092,9.98857282,14.88416186,20.62296638,29.89151642,44.95607219,46.65389366,56.35437116,64.18537441
4,primaryroot,2,3,3,3,3,3,3,3,3,3,3,3,3,4,3.6870808,4.9725346,4.78700115,5.25050693,8.8204128,10.4568433,13.69852096,14.22935916,13.78151997,14.77574692,15.4073478,14.4507569,16.3111787,15.89460086
4,sum_root,2,3,3,4,6,10,12,15,20,26,40,40,57,66,3.6870808,4.9725346,4.78700115,6.11959233,12.01398808,16.66292422,23.68709378,29.11352102,34.40448635,44.66726334,60.36341999,61.10465056,72.66554986,80.07997527
6,Lateralroot,0,0,0,0,0,5,11,21,26,33,41,41,42,52,0,0,0,0,0,0.265359204,0.942342128,3.227838652,6.209055463,10.82742576,17.81000461,19.57365792,23.74501562,34.74174554
6,primaryroot,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.92583713,1.39196199,1.9710448,3.6912337,5.610401,7.0172345,8.4362116,10.0709005,12.551158,15.9526567,18.964669,21.5728,24.342615,27.516798
6,sum_root,2,2,2,2,2,7,13,23,28,35,43,42,44,54,0.92583713,1.39196199,1.9710448,3.6912337,5.610401,7.282593704,9.378553728,13.29873915,18.76021346,26.78008246,36.77467361,41.14645792,48.08763062,62.25854354
6,Lateralroot,0,0,0,0,0,5,11,19,22,26,43,61,75,76,0,0,0,0,0,0.394196424,2.431366954,5.72507809,8.440042933,15.51112993,47.40623396,74.59296772,83.09889183,98.16560819
6,primaryroot,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.09286597,3.01838909,4.9624152,2.1767257,2.9217316,5.6029763,9.9241324,11.1391487,10.6570988,11.7293244,17.987995,17.4903134,17.5414114,22.197731
6,sum_root,3,3,3,2,2,7,13,21,24,28,45,63,77,78,2.09286597,3.01838909,4.9624152,2.1767257,2.9217316,5.997172724,12.35549935,16.86422679,19.09714173,27.24045433,65.39422896,92.08328112,100.6403032,120.3633392
6,Lateralroot,0,0,0,1,3,3,3,4,6,7,8,11,13,13,0,0,0,0.15911454,0.688944797,0.861558773,0.868448283,0.901417023,2.252419789,2.520161748,6.103292328,13.35257005,11.51700818,12.61613243
6,primaryroot,1,3,3,3,3,3,3,3,3,3,3,3,4,4,0.4423873,3.03938063,5.8982536,8.2325875,10.8488591,13.3650835,14.7689682,16.7525453,24.0538767,28.5980194,31.8139511,32.294061,34.8842949,38.7202399
6,sum_root,1,3,3,4,6,6,6,7,9,10,11,14,17,17,0.4423873,3.03938063,5.8982536,8.39170204,11.5378039,14.22664227,15.63741648,17.65396232,26.30629649,31.11818115,37.91724343,45.64663105,46.40130308,51.33637233
11,Lateralroot,0,0,3,15,34,39,52,70,77,80,80,87,89,96,0,0,0.47388828,8.77185531,16.73166963,21.66062759,25.99726592,46.13690633,46.55612908,46.55612908,48.68083866,51.49543022,52.37325035,60.36787736
11,primaryroot,1,1,3,4,4,4,4,4,5,5,6,6,6,6,0.47755355,0.45532194,2.58122646,8.04532065,9.05342395,9.49522282,10.66258442,10.66258442,11.7059395,12.01000504,13.71536733,15.5702317,15.8592599,15.8592599
